Court,Year,Metric,Value,Unit
ECCE,2020,Enrolment,16253,
Primary,2020,Enrolment,56633,
Secondary,2020,Enrolment,18488,
Senior Secondary,2020,Enrolment,5455,
Total,2020,Enrolment,96829,
ECCE,2020,Schools,876,
Primary,2020,Schools,482,
Secondary,2020,Schools,114,
Total,2020,Schools,1472,
ECCE,2020,Teachers,1153,
Primary,2020,Teachers,1933,
Secondary,2020,Teachers,918,
Total,2020,Teachers,4004,
Primary,2020,Teachers_Male,482,
Secondary,2020,Teachers_Male,114,
Primary,2020,Teachers_Female,792,
Secondary,2020,Teachers_Female,498,
