Court,Year,Metric,Value,Unit
ECCE,2019,Enrolment,16445,
Primary,2019,Enrolment,54820,
Secondary,2019,Enrolment,21379,
Total,2019,Enrolment,92644,
ECCE,2019,Schools,863,
Primary,2019,Schools,479,
Secondary,2019,Schools,111,
Total,2019,Schools,1453,
ECCE,2019,Teachers,1314,
Primary,2019,Teachers,1928,
Secondary,2019,Teachers,988,
Total,2019,Teachers,4230,
ECCE,2019,Teachers_Male,50,
Primary,2019,Teachers_Male,799,
Secondary,2019,Teachers_Male,560,
ECCE,2019,Teachers_Female,1264,
Primary,2019,Teachers_Female,1129,
Secondary,2019,Teachers_Female,428,
ECCE,2019,StudentTeacherRatio,12.5,
Primary,2019,StudentTeacherRatio,28.4,
Secondary,2019,StudentTeacherRatio,21.6,
ECCE,2019,GER,111.8,%
ECCE,2019,GPI,1.06,
Primary,2019,GER,127.3,%
Primary,2019,GPI,0.96,
Secondary,2019,GER,47.0,%
Secondary,2019,GPI,1.13,
ECCE,2019,NER,86.6,%
ECCE,2019,NER_GPI,1.06,
Primary,2019,NER,96.1,%
Primary,2019,NER_GPI,0.99,
Secondary,2019,NER,43.2,%
Secondary,2019,NER_GPI,1.17,

