Court,Year,Metric,Value,Unit
ECCE,2023,Enrolment,15058,
Primary,2023,Enrolment,55233,
Secondary,2023,Enrolment,22632,
Senior Secondary,2023,Enrolment,7124,
Total,2023,Enrolment,100047,
ECCE,2023,Schools,742,
Primary,2023,Schools,459,
Secondary,2023,Schools,141,
Total,2023,Schools,1342,
ECCE,2023,Teachers,1236,
Primary,2023,Teachers,2186,
Secondary,2023,Teachers,1199,
Total,2023,Teachers,4621,
ECCE,2023,StudentTeacherRatio,12.2,
Primary,2023,StudentTeacherRatio,25.3,
Secondary,2023,StudentTeacherRatio,24.8,
Tertiary,2023,Enrolment,827,
